customer_id,satisfaction_score,usage_frequency
H0000,4.946558314004702,Low
H0001,2.4970831830244813,Medium
H0002,2.4825685882675637,Medium
H0003,4.25119826903001,Medium
H0004,4.788994309535434,Medium
H0005,4.944004255291484,Low
H0006,4.0135127410357665,Low
H0007,2.505038342123663,High
H0008,1.334002866794675,Medium
H0009,4.108587663709747,High
H0010,3.23361699894322,Low
H0011,2.696888036987905,Low
H0012,4.625417540378944,Low
H0013,1.4447899292246054,Low
H0014,2.9705004171634366,Low
H0015,1.0454145790696763,Low
H0016,2.874642567976505,Low
H0017,1.2252131027273494,Medium
H0018,1.4752716650722877,High
H0019,1.4701049871084195,Low
H0020,3.5968412084642543,Medium
H0021,3.984179517061693,Medium
H0022,3.3334750603886385,High
H0023,4.848690193898168,Low
H0024,2.4994823180948162,High
H0025,2.142848345127443,Low
H0026,4.474396512757841,Medium
H0027,1.8943833540778106,Medium
H0028,4.852890157762445,Medium
H0029,1.0486178987592654,Medium
H0030,4.879515306830556,High
H0031,1.1726396478023045,Low
H0032,4.564572454792284,Low
H0033,3.1108044363451994,High
H0034,4.971859184477202,Low
H0035,1.2951862589415954,Medium
H0036,3.215417137605283,Low
H0037,4.877210142476396,Medium
H0038,3.0923913766805953,High
H0039,3.51759455254105,Low
H0040,3.7829947559384687,High
H0041,2.818164259071093,Low
H0042,3.5102323203362538,Medium
H0043,3.337257247692401,High
H0044,4.604632041963956,Low
H0045,1.1817855213658315,Medium
H0046,2.1238527583689213,High
H0047,4.801645936306235,High
H0048,4.561055135563665,Low
H0049,2.8226270111428517,Low
