customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C0000,Male,0,No,No,51,Yes,No phone service,DSL,No internet service,Yes,Yes,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),37.45694163381292,7384.654241041811,No
C0001,Female,0,No,Yes,47,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,No,No internet service,Two year,No,Bank transfer (automatic),108.0635009827515,7349.950990229688,Yes
C0002,Male,0,No,Yes,4,Yes,No phone service,DSL,No,No internet service,No internet service,Yes,No,No internet service,One year,No,Electronic check,90.21715574887153,5898.35369328075,No
C0003,Male,1,No,Yes,7,Yes,Yes,No,No internet service,No internet service,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),106.58318305264199,5318.539735862326,No
C0004,Male,0,Yes,No,35,Yes,No,Fiber optic,Yes,Yes,No,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),57.113209123864635,142.88805076781375,No
C0005,Female,0,Yes,No,48,Yes,Yes,DSL,No,Yes,Yes,Yes,No internet service,No internet service,Two year,No,Mailed check,49.968163215074355,6362.994614005402,No
C0006,Male,1,No,No,72,Yes,Yes,Fiber optic,No,No,No,No internet service,Yes,No internet service,One year,Yes,Mailed check,56.81989387957224,794.4008664891583,No
C0007,Male,1,Yes,No,45,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,No,No internet service,One year,No,Credit card (automatic),19.891915963889563,2221.207440022048,Yes
C0008,Male,1,No,No,72,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,91.91983606515294,4695.740685170039,No
C0009,Female,0,Yes,No,19,Yes,No phone service,DSL,No internet service,Yes,Yes,No internet service,Yes,No,One year,Yes,Bank transfer (automatic),53.67679060329799,3849.595784918585,No
C0010,Male,0,No,No,63,Yes,No phone service,No,No internet service,No,Yes,No internet service,No,No internet service,Two year,Yes,Mailed check,49.95902796483276,151.79837404140466,No
C0011,Male,0,No,Yes,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Two year,No,Electronic check,79.01038866779436,7007.041265787424,No
C0012,Male,1,Yes,No,67,Yes,No,No,No internet service,No internet service,Yes,No internet service,Yes,No,Two year,No,Bank transfer (automatic),62.497490994401275,7471.989726484828,No
